pos_x , pos_y , pos_z , pos_d_x , pos_d_y , pos_d_z , pos_e_x , pos_e_y , pos_e_z , quat_x , quat_y , quat_z , quat_w , quat_d_x , quat_d_y , quat_d_z , quat_d_w , yaw , yaw_d , vel_x , vel_y , vel_z , vel_d_x , vel_d_y , vel_d_z , vel_e_x , vel_e_y , vel_e_z , acc_d_x , acc_d_y , acc_d_z , jerk_d_x , jerk_d_y , jerk_d_z , omega_d_x , omega_d_y , omega_d_z
-0.000603 , -0.000652 , 0.499238 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , 0.000003 , 0.000152 , -0.001120 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002240 , 0.000000 , 0.001982 , -0.001827 , 0.006214 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006214 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000563 , -0.000689 , 0.499362 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , 0.000001 , 0.000099 , -0.001120 , 0.999999 , 0.000028 , -0.000267 , 0.000000 , 1.000000 , -0.002241 , 0.000000 , 0.002036 , -0.001828 , 0.006190 , 0.000000 , 0.000000 , 0.000000 , -0.002036 , 0.000000 , -0.006190 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.000150 , -0.066799 , 0.000000
-0.000521 , -0.000725 , 0.499485 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000001 , 0.000006 , -0.001121 , 0.999999 , 0.000028 , -0.000276 , 0.000000 , 1.000000 , -0.002242 , 0.000000 , 0.002086 , -0.001828 , 0.006169 , 0.000000 , 0.000000 , 0.000000 , -0.002086 , 0.000000 , -0.006169 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.001644 , 0.000000
-0.000479 , -0.000762 , 0.499608 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000003 , -0.000317 , -0.001121 , 0.999999 , 0.000028 , -0.000276 , 0.000000 , 1.000000 , -0.002243 , 0.000000 , 0.002092 , -0.001828 , 0.006151 , 0.000000 , 0.000000 , 0.000000 , -0.002092 , 0.000000 , -0.006151 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.000179 , 0.000000
-0.000439 , -0.000798 , 0.499731 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000006 , -0.000604 , -0.001122 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002243 , 0.000000 , 0.001943 , -0.001826 , 0.006127 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006127 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000154 , 0.068623 , 0.000000
-0.000405 , -0.000835 , 0.499853 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000008 , -0.000679 , -0.001122 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002244 , 0.000000 , 0.001665 , -0.001823 , 0.006109 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006109 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000376 , -0.000871 , 0.499975 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000009 , -0.000365 , -0.001122 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002245 , 0.000000 , 0.001378 , -0.001820 , 0.006098 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006098 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000350 , -0.000908 , 0.500097 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000011 , 0.000000 , -0.001123 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002246 , 0.000000 , 0.001255 , -0.001816 , 0.006074 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006074 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000325 , -0.000944 , 0.500218 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000012 , 0.000250 , -0.001123 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002247 , 0.000000 , 0.001284 , -0.001812 , 0.006062 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006062 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000297 , -0.000980 , 0.500339 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000014 , 0.000357 , -0.001124 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002248 , 0.000000 , 0.001404 , -0.001807 , 0.006044 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006044 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
